date,open,high,low,close,volume,marketCap
2017-07-27,63.01,66.09,62.21,65.09,3508340,395556000
2017-07-26,63.57,64.46,60.63,62.68,3436370,398636000
2017-07-25,67.01,67.01,60.14,63.65,3566120,413094000
2017-07-24,61.33,68.22,58.44,67.02,3991940,374541000
2017-07-23,67.36,67.85,58.75,60.14,2132900,410971000
2017-07-22,67.23,70.84,65.63,67.31,3077890,409779000
2017-07-21,70.31,70.55,65.47,67.21,4225470,423696000
2017-07-20,56.44,72,56.44,69.79,4378970,334334000
2017-07-19,58.38,60.22,55.72,56.61,3140970,345452000
2017-07-18,55.72,59.98,53.81,58.29,3540910,329330000
2017-07-17,47.74,55.83,47.74,55.49,3778790,281529000
2017-07-16,44.22,50.56,29.87,48.05,2100690,260770000
2017-07-15,55.45,55.55,44.57,44.57,2687210,383760000
2017-07-14,57.6,58.57,53.94,55.53,3445520,398102000
2017-07-13,57.99,58.89,57.02,57.64,3024130,400400000
2017-07-12,54.99,58.86,53.61,58.26,2740060,379392000
2017-07-11,53.64,56.96,53.28,55.07,2767260,368502000
2017-07-10,58.67,59.6,53.45,53.97,2949720,402702000
2017-07-09,60.22,60.45,58.61,58.96,1992460,412952000
2017-07-08,56.6,60.25,56.6,60.18,2447650,387783000
2017-07-07,59.13,59.79,56.58,56.58,4205810,404767000
2017-07-06,57.11,63.8,56.92,59.06,3277810,390587000
2017-07-05,55.52,57.3,53.62,57.08,2954260,379307000
2017-07-04,53.24,55.52,53.22,55.48,2748610,363460000
2017-07-03,51.81,54.06,51.35,53.36,3417230,353379000
2017-07-02,50.04,52.4,49.62,52.04,1326100,341010000
2017-07-01,51.37,52.15,49.61,50.04,2650800,349775000
2017-06-30,51.94,53.1,50.86,51.39,2126610,353252000
2017-06-29,52.06,52.82,51.04,51.84,2865970,353750000
2017-06-28,51.31,52.62,49.94,52.11,2985300,348397000
2017-06-27,49.5,50.77,46.29,50.56,2410340,335744000
2017-06-26,51.11,52.74,47.31,48.33,2220370,346232000
2017-06-25,52.76,54.14,50.46,51.16,2464490,357030000
2017-06-24,55.65,56.4,51.81,52.87,2270790,376295000
2017-06-23,52.31,56.73,51.25,55.67,2353480,353360000
2017-06-22,51.25,52.3,50.28,52.3,2264670,345886000
2017-06-21,52.41,52.67,48.98,51.27,1981900,353405000
2017-06-20,51.36,52.76,51.08,52.42,1991020,346100000
2017-06-19,50.96,51.66,50.9,51.38,1827540,343207000
2017-06-18,51.02,51.62,50.5,50.9,1066710,343305000
2017-06-17,50.69,51.19,50.27,51.03,1436890,340842000
2017-06-16,49.16,51.44,46.92,50.94,1359210,330219000
2017-06-15,48.01,50.28,43.45,49.18,1655390,322219000
2017-06-14,50.89,53.96,46.35,47.83,1804340,341224000
2017-06-13,45.92,50.87,45.92,50.87,1609630,307656000
2017-06-12,53.42,53.42,41.72,45.68,2295830,357687000
2017-06-11,54.11,57.52,50.63,53,1762110,361918000
